Time       clk   rst   scl_in   sda_in   sda_dev_in   scl_dev   sda_out1   scl_out1   sda_dev_out1   sda_out2   scl_out2   sda_dev_out2   enable   state  
   5000000     0     0        1        1            0         1          0          0              0          0          0              0        0       0
  10000000     0     0        1        0            0         1          0          0              0          0          0              0        0       0
  15000000     0     0        0        1            0         1          0          0              0          0          0              0        0       1
  20000000     0     0        1        1            0         1          1          1              1          0          0              0        0       1
  25000000     0     0        0        0            0         1          1          1              1          0          0              0        0       1
  30000000     0     0        1        0            0         1          1          1              1          0          0              0        0       1
  35000000     0     0        0        0            0         1          1          1              1          0          0              0        0       1
  40000000     0     0        1        0            0         1          1          1              1          0          0              0        0       1
  45000000     0     0        0        1            0         1          1          1              1          0          0              0        0       1
  50000000     0     0        1        1            0         1          1          1              1          0          0              0        0       1
  55000000     0     0        0        0            0         1          1          1              1          0          0              0        0       1
  60000000     0     0        1        0            0         1          1          1              1          0          0              0        0       1
  65000000     0     0        0        0            0         1          1          1              1          0          0              0        0       1
  70000000     0     0        1        0            0         1          1          1              1          0          0              0        0       1
  75000000     0     0        0        0            0         1          1          1              1          0          0              0        0       1
  80000000     0     0        1        0            0         1          1          1              1          0          0              0        0       1
  85000000     0     0        0        1            0         1          1          1              1          0          0              0        0       1
  90000000     0     0        1        1            0         1          1          1              1          0          0              0        0       1
  95000000     0     0        0        1            0         1          1          1              1          0          0              0        0       1
 100000000     0     0        1        1            0         1          1          1              1          0          0              0        0       1
 105000000     0     0        1        1            1         0          0          1              1          0          0              0        0       3
 110000000     0     0        1        1            1         1          0          1              1          0          0              0        0       3
 115000000     0     0        1        1            0         0          0          1              1          0          0              0        0       3
 120000000     0     0        1        1            0         1          0          1              1          0          0              0        0       3
 125000000     0     0        1        1            0         0          0          1              1          0          0              0        0       3
 130000000     0     0        1        1            0         1          0          1              1          0          0              0        0       3
 135000000     0     0        1        1            1         0          0          1              1          0          0              0        0       3
 140000000     0     0        1        1            1         1          0          1              1          0          0              0        0       3
 145000000     0     0        1        1            0         0          0          1              1          0          0              0        0       3
 150000000     0     0        1        1            0         1          0          1              1          0          0              0        0       3
 155000000     0     0        1        1            0         0          0          1              1          0          0              0        0       3
 160000000     0     0        1        1            0         1          0          1              1          0          0              0        0       3
 165000000     0     0        1        1            1         0          0          1              1          0          0              0        0       3
 170000000     0     0        1        1            1         1          0          1              1          0          0              0        0       3
 175000000     0     0        1        1            0         0          0          1              1          0          0              0        0       3
 180000000     0     0        1        1            0         1          0          1              1          0          0              0        0       3
 185000000     0     0        1        1            0         0          0          1              1          0          0              0        0       3
 190000000     0     0        1        1            0         1          0          1              1          0          0              0        0       3
 195000000     0     0        1        1            0         0          0          1              1          0          0              0        0       3
 200000000     0     0        1        1            0         1          0          1              1          0          0              0        0       3
 205000000     0     0        1        1            0         0          1          1              1          0          0              0        0       3
 210000000     0     0        1        1            0         1          1          1              1          0          0              0        0       3
 215000000     0     0        1        1            0         0          1          1              1          0          0              0        0       3
 220000000     0     0        1        1            0         1          1          1              1          0          0              0        0       3
 225000000     0     0        1        1            0         0          1          1              1          0          0              0        0       3
 230000000     0     0        1        1            0         1          1          1              1          0          0              0        0       3
 235000000     0     0        1        1            0         0          1          1              1          0          0              0        0       3
 240000000     0     0        1        1            0         1          1          1              1          0          0              0        0       3
 245000000     0     0        1        1            0         0          1          1              1          0          0              0        0       3
 250000000     0     0        1        1            0         1          1          1              1          0          0              0        0       3
 255000000     0     0        1        1            0         0          1          1              1          0          0              0        0       3
 260000000     0     0        1        1            0         1          1          1              1          0          0              0        0       3
 265000000     0     0        1        1            0         0          1          1              1          0          0              0        0       3
 270000000     0     0        1        1            0         1          1          1              1          0          0              0        0       3
 275000000     0     0        1        1            0         0          1          1              1          0          0              0        0       3
 280000000     0     0        1        1            0         1          1          1              1          0          0              0        0       3
 285000000     0     0        0        0            0         1          1          1              1          0          0              0        0       4
 290000000     0     0        1        0            0         1          1          1              1          0          0              0        0       0
 295000000     0     0        0        1            0         1          1          1              1          0          0              0        0       0
 300000000     0     0        1        1            0         1          1          1              1          0          0              0        0       0
